red,orange,yellow,green,blue,white,brown,cyan,gray,pink,darkslategray,no match,initial_price,curr_price,days_since_release,skin_type
1,1,0,0,6,44,2,30,10770,516,45355,0,2.49,6.34,1711,Snow Jacket
2,0,0,0,9,622,104,24,7588,1931,8726,0,9.13,9.52,781,Assault Rifle
2,42,0,0,6,445,2716,22,6137,2066,7625,0,6.3,13.5,865,Assault Rifle
1,0,0,0,5,2491,2,24,6840,1921,8113,0,3.99,30.59,767,Assault Rifle
0,1080,3,0,5,94,3723,889,8163,1092,5750,0,1.99,3.33,689,Stone Hatchet
6,39,0,2,4,371,3213,15,9336,492,33739,0,1.49,2.23,277,Sheet Metal Door
1,0,0,7,4,198,1,11,3597,332,38475,0,1.99,2.39,11,Rock
5,0,0,1,4,0,7989,15,4,0,1481,0,16.99,6.45,1281,Acoustic Guitar
0,0,0,0,5,132,816,18,10652,910,27982,0,1.99,1.87,697,Rock
1,37,0,0,11,41,1966,38,5910,227,14289,0,4.52,2.48,781,Custom SMG
1,445,7,0,6,565,571,22,7158,2655,7480,0,17.38,1.49,1221,Assault Rifle
1,297,5,0,6,227,466,22,6087,1572,9058,0,1.64,1.44,1165,Assault Rifle
0,59,0,0,7,674,184,14,3075,1564,9465,0,2.48,4.79,1130,Double Barrel Shotgun
2,560,0,0,4,308,2009,13,24290,293,25955,0,2.94,7.52,1199,Fridge
1,715,0,0,11,69,463,17,3557,264,20007,0,12.65,2.09,1183,Rocket Launcher
4,0,0,0,7,373,603,24,4375,586,35793,0,3.7,3.23,1152,Semi-Automatic Pistol
0,0,0,0,0,51,9,35,13412,982,28008,0,0.99,1.51,465,Hoodie
1,15,1,0,10,67,48,22,11975,597,24575,0,0.99,1.39,465,Pants
0,0,0,0,3,99,11128,17,5013,376,33178,0,1.49,5.25,746,Wooden Door
2,17,0,0,6,66,3161,22,5156,336,9630,0,2.49,68.44,1221,Assault Rifle
1,0,0,0,12,147,0,581,5538,297,15611,0,29.96,581.3,1268,Custom SMG
7,7689,0,2,5,504,11709,14,13039,933,23038,0,1.49,2.44,1145,Sheet Metal Door
2,4197,0,0,205,14,18444,13,6877,178,48314,0,1.49,2.06,248,Sheet Metal Double Door
1,1002,326,0,5,2897,70,29,19704,4560,25324,0,1.49,2.89,1276,Large Wood Box
1,0,0,0,5,66,85,28,18259,10851,23312,0,1.49,1.45,199,Large Wood Box
1,187,0,0,4,216,250,29,8937,537,44520,0,5.49,0.11,1641,Large Wood Box
0,0,0,0,9,2291,31,24,3025,1533,5948,0,1.99,2.58,353,Semi-Automatic Rifle
0,0,0,0,3,0,1715,8,924,25,9176,0,0.99,4.11,1075,Burlap Headwrap
1,12,0,0,10,1,4495,39,1395,54,12791,0,18.89,5.69,1270,Custom SMG
3,0,0,0,15,94,3,45,1951,223,14972,0,3.4,3.29,1131,Crossbow
0,0,0,0,3,236,0,17,2468,234,20796,0,5.14,3.59,1158,Hatchet
0,0,0,0,5,84,0,21,2193,278,10489,0,1.99,2.1,1145,Pickaxe
0,724,0,0,3,800,2916,20,12342,3999,23368,0,1.3,1.88,872,Furnace
0,1239,736,0,2,43,711,21,2749,409,26132,0,2.05,4.49,802,Furnace
0,0,0,0,6,0,847,14,1185,18,12745,0,1.99,5.48,675,Stone Hatchet
0,0,1,0,7,6,76,15,3041,203,13957,0,4.68,2.13,1033,Stone Pickaxe
7,0,0,2,5,257,98,14,19573,690,34931,0,1.49,3.03,661,Sheet Metal Door
0,142,0,0,3,122,1807,21,10732,1944,28329,0,1.49,4.38,661,Furnace
0,0,0,0,5,359,0,18,5031,829,35032,0,1.99,3.81,921,Rock
0,1075,0,0,2,25,2008,21,7646,707,30727,0,2.14,2.19,879,Furnace
0,0,0,0,3,69,1,26,2515,579,20862,0,2.6,23.45,1185,Chair
0,0,0,0,3,5718,1,12,16373,9705,3244,0,2.3,36.77,1186,Table
7,0,0,2,5,3,832,14,11160,287,39992,0,1.34,2.97,934,Sheet Metal Door
2,43,0,0,6,482,259,22,7818,1806,8188,0,1.49,11.02,879,Assault Rifle
4,0,0,0,3,0,1926,22,1630,26,43621,0,1.49,4.05,908,Armored Door
0,2149,53,0,5,0,10648,29,5909,2160,18466,0,7.89,0.9,1223,Coffee Can Helmet
1,0,0,0,6,42,25,36,5787,201,36699,0,0.99,2.64,1061,Road Sign Kilt
1,0,0,0,13,448,189,17,10040,1797,29953,0,0.99,1.28,1061,Road Sign Jacket
0,0,0,0,3,665,1557,17,5710,1161,9568,0,1.99,2.04,45,Hatchet
3,23,21,0,3,2117,648,45,6942,2766,5461,0,1.99,1.94,304,Assault Rifle
3,0,0,0,2,3845,2118,25,21001,5336,34004,0,0.99,2.92,290,Boots
2,0,0,0,2,667,1752,33,13136,2380,25095,0,0.99,3.6,192,Metal Chest Plate
0,1,0,0,5,1500,2062,16,13558,3276,24459,0,0.99,4.42,192,Metal Facemask
2,122,3,0,5,985,1157,25,11254,2676,22192,0,0.99,0.95,331,Coffee Can Helmet
0,1,0,0,4,9,44,24,4453,135,23776,0,0.99,2.18,339,Hoodie
2,0,0,0,8,361,1927,33,13406,2030,24502,0,0.99,1.73,332,Road Sign Kilt
2,0,0,0,4,3484,1284,28,21797,6886,20303,0,1.49,2.27,290,Leather Gloves
0,0,0,0,9,10,71,24,6006,234,20868,0,0.99,2.39,339,Pants
0,5,0,0,5,3722,440,51,3953,4100,2039,0,1.99,4.6,269,Bolt Action Rifle
1,2,0,0,10,949,1286,18,14330,3761,19479,0,0.99,0.96,331,Road Sign Jacket
0,3,4,0,5,224,1729,20,3165,778,3684,0,1.99,2.2,45,Pickaxe
0,0,0,0,8,239,367,15,8301,642,18938,0,1.94,1.8,886,Waterpipe Shotgun
4,0,0,0,8,1247,14,2890,5730,1641,28289,0,1.99,1.38,410,Semi-Automatic Pistol
